feature_a,feature_b,ref_corr,syn_corr,corr_diff
Debt-to-Income Ratio,Average Month-End Balance,,-0.024209111493421923,
Debt-to-Income Ratio,Average Negative Balance Days per Month,,0.02192758574743866,
Debt-to-Income Ratio,Number of Bounced Payments,,-0.008709517259008705,
Debt-to-Income Ratio,Company Age (Months),,0.010875077700331809,
Debt-to-Income Ratio,Sector_Risk,,,
Operating Margin,Debt Service Coverage Ratio,-0.027158690372038493,0.035121253737263304,0.062279944109301794
Operating Margin,Cash Flow Volatility,-0.036410840324682094,-0.00269742061420389,0.033713419710478205
Operating Margin,Revenue Growth Rate,0.02771029930884066,0.022821912981360017,-0.004888386327480641
Operating Margin,Average Month-End Balance,-0.09945820322553706,-0.0950666218327964,0.004391581392740651
Operating Margin,Average Negative Balance Days per Month,0.08082003465117361,0.060575427682516496,-0.020244606968657118
Operating Margin,Number of Bounced Payments,0.0203516292386423,0.02473022868094894,0.00437859944230664
Operating Margin,Company Age (Months),0.11163928946207106,0.08002327560729922,-0.03161601385477185
Operating Margin,Sector_Risk,,,
Debt Service Coverage Ratio,Cash Flow Volatility,0.09343608645469859,0.06299775412175514,-0.03043833233294345
Debt Service Coverage Ratio,Revenue Growth Rate,-0.026932664246369014,0.05305550420861627,0.07998816845498528
Debt Service Coverage Ratio,Average Month-End Balance,-0.0014545432306875322,-0.012505498697166988,-0.011050955466479455
Debt Service Coverage Ratio,Average Negative Balance Days per Month,-0.045627200750279456,0.04278643098760419,0.08841363173788365
Debt Service Coverage Ratio,Number of Bounced Payments,-0.049142747084941124,-0.0018500420885536831,0.04729270499638744
Debt Service Coverage Ratio,Company Age (Months),-0.30413244297614384,-0.0137778385046572,0.29035460447148664
Debt Service Coverage Ratio,Sector_Risk,,,
Cash Flow Volatility,Revenue Growth Rate,0.1721034479679702,0.2046952078340195,0.032591759866049314
Cash Flow Volatility,Average Month-End Balance,-0.0023494984039378027,-0.016760219287211033,-0.01441072088327323
Cash Flow Volatility,Average Negative Balance Days per Month,-0.03308798675775714,0.0329792079806038,0.06606719473836095
Cash Flow Volatility,Number of Bounced Payments,-0.06450322587063939,-0.0634155456586394,0.0010876802119999945
Cash Flow Volatility,Company Age (Months),-0.1660825207579369,-0.16786110562172082,-0.001778584863783933
Cash Flow Volatility,Sector_Risk,,,
Revenue Growth Rate,Average Month-End Balance,-0.033586304627601524,-0.0578339135143904,-0.024247608886788875
Revenue Growth Rate,Average Negative Balance Days per Month,-0.03351108809463132,0.05414720730508481,0.08765829539971612
Revenue Growth Rate,Number of Bounced Payments,-0.016132847485835378,-0.0753258597073207,-0.05919301222148532
Revenue Growth Rate,Company Age (Months),-0.050830386327571725,-0.022382974118944396,0.02844741220862733
Revenue Growth Rate,Sector_Risk,,,
Average Month-End Balance,Average Negative Balance Days per Month,-0.2731473119997883,-0.266059366977311,0.007087945022477338
Average Month-End Balance,Number of Bounced Payments,0.07829104604802423,0.09624973275941053,0.0179586867113863
Average Month-End Balance,Company Age (Months),0.04842839778551051,0.06397551195578999,0.015547114170279479
Average Month-End Balance,Sector_Risk,,,
Average Negative Balance Days per Month,Number of Bounced Payments,0.0008135506595529444,-0.01656497774054119,-0.017378528400094132
Average Negative Balance Days per Month,Company Age (Months),0.07082828506731158,0.10322608683065355,0.03239780176334198
Average Negative Balance Days per Month,Sector_Risk,,,
Number of Bounced Payments,Company Age (Months),0.03727655447329713,0.07431616872660753,0.0370396142533104
Number of Bounced Payments,Sector_Risk,,,
Company Age (Months),Sector_Risk,,,
