application_id,company_name,original_filename,outcome_label,paid_flag,not_paid_flag,defaulted_flag,industry,requested_loan,company_age_months,directors_score,director_defaults_12m,director_defaults_36m,director_ccj_count,director_ccj_value,business_ccj,Total Revenue,Monthly Average Revenue,Total Expenses,Net Income,Total Debt,Debt-to-Income Ratio,Operating Margin,Debt Service Coverage Ratio,Gross Burn Rate,Cash Flow Volatility,Revenue Growth Rate,Average Month-End Balance,Average Negative Balance Days per Month,Number of Bounced Payments,mca_rule_score,mca_rule_decision,subprime_score,subprime_tier,final_decision
101756,Km Luxury Enterprises,Km luxury enterprises.json,unlabelled,False,False,False,Other,10000.0,136,86,0.0,0.0,0.0,0.0,False,116290.69,8945.44,112314.9,3975.79,11640.0,0.1,0.034,12.8,8639.61,0.394,-0.02,1000.0,3,0,60,REFER,76.1,Tier 2,DECLINE
,Differencesnotdisabilities,Differencesnotdisabilities.json,unlabelled,False,False,False,Other,5000.0,12,65,,,,,False,49691.49,3822.42,59408.02,-9716.53,16595.0,0.334,-0.196,7.23,4569.85,0.398,-0.05,1000.0,3,0,60,REFER,64.2,Tier 2,DECLINE
101807,D & C Couriers Ltd,D & C Couriers Ltd app 3.json,unlabelled,False,False,False,Other,2000.0,68,0,0.0,0.0,0.0,0.0,False,77557.49,5965.96,30913.25,46644.24,0.0,0.0,0.601,3.22,2377.94,0.329,0.04,1794.01,3,0,100,APPROVE,70.7,Tier 2,DECLINE
101604,Aryaancompany Ltd,ARYAANCOMPANY LtD.json,unlabelled,False,False,False,Other,10000.0,40,59,0.0,4.0,2.0,15247.0,False,82477.41,6344.42,101023.78,-18546.37,25102.21,0.304,-0.225,11.75,7771.06,0.256,-0.01,1000.0,3,0,100,APPROVE,64.6,Tier 2,APPROVE
100016,Kc Group Of Companies Ltd,KC Group Of Companies Ltd.json,unlabelled,False,False,False,Other,2000.0,32,65,0.0,0.0,0.0,0.0,False,67712.31,5208.64,68025.56,-313.25,13981.63,0.206,-0.005,4.89,5232.74,1.092,0.1,1000.0,10,0,30,DECLINE,60.6,Tier 4,DECLINE
100016,Bistro Bites Ltd,Bistro bites ltd.json,unlabelled,False,False,False,Other,2000.0,32,65,0.0,0.0,0.0,0.0,False,32332.86,4618.98,32112.85,220.01,0.0,0.0,0.007,50.0,4587.55,0.558,-0.02,1000.0,5,0,60,REFER,66.7,Tier 2,DECLINE
101561,Elija Limited,ELIJA LIMITED.json,unlabelled,False,False,False,Other,8000.0,33,86,0.0,0.0,3.0,92406.0,False,97513.61,7501.05,67312.32,30201.29,7079.73,0.073,0.31,2.32,5177.87,0.772,-0.29,1161.59,7,0,30,DECLINE,64.6,Tier 3,DECLINE
100016,Sloppy Coffee Ltd,Sloppy coffee ltd.json,unlabelled,False,False,False,Other,2000.0,32,65,0.0,0.0,0.0,0.0,False,78162.23,11166.03,78633.88,-471.65,0.0,0.0,-0.006,50.0,11233.41,0.397,-0.24,1000.0,3,0,60,REFER,67.5,Tier 2,DECLINE
100046,Nova Pubs Ltd,Nova pubs Ltd.json,unlabelled,False,False,False,Other,5000.0,59,0,0.0,0.0,0.0,0.0,False,74552.7,18638.18,60786.81,13765.89,0.0,0.0,0.185,11.59,15196.7,1.061,0.5,1720.74,10,0,30,DECLINE,59.7,Tier 4,DECLINE
100016,As Derby Restaurants Ltd,As Derby restaurants ltd.json,unlabelled,False,False,False,Other,2000.0,32,65,0.0,0.0,0.0,0.0,False,286669.47,22051.5,290395.73,-3726.26,6512.09,0.023,-0.013,50.0,22338.13,0.634,-0.18,1000.0,6,0,60,REFER,59.3,Tier 2,DECLINE
101866,Quantome Commerce Ltd,Quantome Commerce LTd.json,unlabelled,False,False,False,Other,8000.0,41,73,0.0,0.0,0.0,0.0,False,129477.96,9959.84,104562.68,24915.28,30613.72,0.236,0.192,2.38,8043.28,1.086,-0.39,1000.0,10,0,30,DECLINE,57.8,Tier 4,DECLINE
101865,Plumbsussex Ltd,PlumbSussex Ltd.json,unlabelled,False,False,False,Other,3000.0,40,63,0.0,0.0,0.0,0.0,False,129931.69,9994.75,124792.92,5138.77,6115.0,0.047,0.04,11.6,9599.46,0.33,0.01,1000.0,3,0,100,APPROVE,77.6,Tier 2,APPROVE
101864,Aurina Ltd,Aurina Ltd.json,unlabelled,False,False,False,Other,10000.0,179,0,0.0,0.0,0.0,0.0,False,324114.29,24931.87,312898.57,11215.72,41649.35,0.129,0.035,6.31,24069.12,0.4,-0.09,1000.0,4,0,60,REFER,57.7,Tier 2,DECLINE
101862,Beddoes Removals And Stotage,Beddoes removals and stotage.json,unlabelled,False,False,False,Other,6000.0,35,71,5.0,5.0,0.0,0.0,False,143221.4,11017.03,134753.86,8467.54,1403.0,0.01,0.059,10.89,10365.68,0.299,-0.07,1000.0,0,0,100,APPROVE,76.6,Tier 2,APPROVE
101861,Mar Carpio Ltd,Mar carpio ltd.json,unlabelled,False,False,False,Other,8000.0,15,55,2.0,2.0,1.0,267.0,False,20730.01,1884.55,20722.26,7.75,0.0,0.0,0.0,10.0,1883.84,1.212,-0.48,1000.0,10,0,30,DECLINE,46.8,Tier 4,DECLINE
101860,Cleaner Than Ever Norbury Ltd,Cleaner Than Ever Norbury Ltd.json,unlabelled,False,False,False,Other,3000.0,44,76,0.0,0.0,0.0,0.0,False,336792.02,25907.08,357941.72,-21149.7,31133.48,0.092,-0.063,33.76,27533.98,0.44,0.08,1000.0,4,0,60,REFER,76.4,Tier 2,DECLINE
101858,Sag Hussain Retail Ltd,Sag Hussain Retail Ltd.json,unlabelled,False,False,False,Other,3000.0,94,70,2.0,6.0,1.0,197.0,False,347927.52,38658.61,268484.52,79443.0,0.0,0.0,0.228,4.37,29831.61,0.581,-0.03,4413.5,5,0,60,REFER,78.4,Tier 2,SENIOR_REVIEW
101857,Habitat Music Studios Ltd,Habitat music studios ltd app 2.json,unlabelled,False,False,False,Other,2000.0,61,78,0.0,0.0,0.0,0.0,False,42247.1,4694.12,42483.87,-236.77,4322.59,0.102,-0.006,10.43,4720.43,0.544,-0.12,1000.0,5,0,60,REFER,65.8,Tier 2,DECLINE
101857,Habitat Music Studios Ltd,Habitat music studios ltd.json,unlabelled,False,False,False,Other,2000.0,61,78,0.0,0.0,0.0,0.0,False,42247.1,4694.12,42483.87,-236.77,4322.59,0.102,-0.006,10.43,4720.43,0.544,-0.12,1000.0,5,0,60,REFER,65.8,Tier 2,DECLINE
101856,Rb Market Limited,Rb market limited app 2.json,unlabelled,False,False,False,Other,10000.0,11,68,0.0,0.0,0.0,0.0,False,92628.39,13232.63,94280.52,-1652.13,2000.0,0.022,-0.018,50.0,13468.65,0.543,0.22,1000.0,5,0,60,REFER,72.4,Tier 2,DECLINE
101853,Mundy Grooming Ltd,Mundy Grooming Ltd.json,unlabelled,False,False,False,Other,2000.0,13,74,0.0,0.0,0.0,0.0,False,42796.08,4279.61,42457.56,338.52,2000.0,0.047,0.008,18.62,4245.76,1.473,-0.48,1000.0,10,0,30,DECLINE,49.2,Tier 4,DECLINE
101854,Ings Pet Store & Grooming Ltd,Ings pet store & grooming ltd app 2.json,unlabelled,False,False,False,Other,6000.0,14,80,0.0,0.0,0.0,0.0,False,110623.23,10056.66,118303.52,-7680.29,6305.0,0.057,-0.069,11.33,10754.87,0.472,0.06,1000.0,4,0,60,REFER,75.1,Tier 2,DECLINE
101852,Kgksurrey.Co.Uk,KGKSURREY.co.uk.json,unlabelled,False,False,False,Other,4000.0,115,75,0.0,0.0,0.0,0.0,False,93286.42,7175.88,85239.6,8046.82,1247.73,0.013,0.086,8.76,6556.89,0.568,0.34,1000.0,5,0,60,REFER,79.3,Tier 2,SENIOR_REVIEW
101851,Canny Fast Car Solutions Ltd,Canny fast car solutions Ltd.json,unlabelled,False,False,False,Other,10000.0,52,71,0.0,0.0,0.0,0.0,False,13833.42,3458.36,8829.57,5003.85,0.0,0.0,0.362,14.21,2207.39,0.569,0.33,1000.0,5,0,60,REFER,79.3,Tier 2,SENIOR_REVIEW
101848,Dottie Dances Ltd,Dottie dances ltd.json,unlabelled,False,False,False,Other,3000.0,16,89,0.0,0.0,0.0,0.0,False,15501.88,1722.43,20734.98,-5233.1,7063.0,0.456,-0.338,21.37,2303.89,0.665,0.46,1000.0,6,0,60,REFER,64.1,Tier 2,DECLINE
101847,Wmj Group Limited,WMJ group limited.json,unlabelled,False,False,False,Other,10000.0,15,72,0.0,0.0,1.0,2972.0,False,845894.64,65068.82,845623.96,270.68,40001.0,0.047,0.0,23.19,65048.0,0.31,0.09,1000.0,3,0,100,APPROVE,76.3,Tier 2,APPROVE
101846,Nadia Miah Hair And Skin Ltd,Nadia miah hair and skin ltd.json,unlabelled,False,False,False,Other,10000.0,10,89,0.0,0.0,0.0,0.0,False,182642.95,14049.46,234929.7,-52286.75,2800.0,0.015,-0.286,8.05,18071.52,1.128,0.5,1000.0,10,0,30,DECLINE,56.9,Tier 4,DECLINE
101845,Rj Elite Property Management,RJ ELITE PROPERTY MANAGEMENT app 4.json,unlabelled,False,False,False,Other,2000.0,30,84,0.0,7.0,1.0,323.0,False,184252.23,20472.47,167024.39,17227.84,1391.05,0.008,0.094,11.45,18558.27,0.407,0.01,1000.0,4,0,60,REFER,81.9,Tier 2,DECLINE
101844,Cheers&Chill Limited,CHEERS&CHILL LIMITED.json,unlabelled,False,False,False,Other,10000.0,25,75,0.0,0.0,0.0,0.0,False,346956.89,26688.99,208709.52,138247.37,43141.0,0.124,0.398,1.78,16054.58,0.377,0.05,5317.21,3,0,60,REFER,84.0,Tier 2,DECLINE
101843,Davaro Limited,Davaro limited.json,unlabelled,False,False,False,Other,10000.0,16,0,0.0,0.0,0.0,0.0,False,53648.93,8941.49,63126.96,-9478.03,7500.0,0.14,-0.177,26.45,10521.16,0.677,0.02,1000.0,6,0,60,REFER,49.0,Tier 4,DECLINE
101838,Peak Platform Websites Ltd,Peak Platform websites ltd.json,unlabelled,False,False,False,Other,9000.0,6,58,0.0,1.0,0.0,0.0,False,11553.46,888.73,14387.31,-2833.85,3360.0,0.291,-0.245,24.44,1106.72,0.876,-0.16,1000.0,8,0,30,DECLINE,43.1,Tier 4,DECLINE
101839,Aesthetic Precision,Aesthetic Precision.json,unlabelled,False,False,False,Other,5000.0,40,73,0.0,0.0,0.0,0.0,False,71438.31,5495.25,71231.27,207.04,480.0,0.007,0.003,50.0,5479.33,0.408,0.11,1000.0,4,0,60,REFER,78.3,Tier 1,SENIOR_REVIEW
101840,Havelock Group Ltd Ta New Longcar,Havelock Group Ltd TA New Longcar.json,unlabelled,False,False,False,Other,10000.0,12,68,0.0,0.0,0.0,0.0,False,34026.74,17013.37,30923.37,3103.37,0.0,0.0,0.091,15.65,15461.69,0.659,-0.5,1000.0,6,0,60,REFER,63.2,Tier 2,DECLINE
101837,Auto Repairs Basingstoke Ltd,Auto Repairs Basingstoke Ltd.json,unlabelled,False,False,False,Other,6000.0,18,86,0.0,0.0,0.0,0.0,False,91856.98,7065.92,94334.14,-2477.16,5804.85,0.063,-0.027,24.24,7256.47,0.492,-0.07,1000.0,4,0,60,REFER,67.8,Tier 2,DECLINE
101836,Madinska & Co Ltd,MADINSKA & CO LTD app 5.json,unlabelled,False,False,False,Other,2000.0,27,0,0.0,0.0,0.0,0.0,False,38582.68,2967.9,27598.67,10984.01,13.54,0.0,0.285,3.03,2122.97,1.217,0.16,1000.0,10,0,30,DECLINE,53.8,Tier 4,DECLINE
101835,Faith & Love Nursery Ltd,Faith & Love nursery Ltd.json,unlabelled,False,False,False,Other,2000.0,32,81,0.0,0.0,0.0,0.0,False,93152.21,7165.55,84528.02,8624.19,2605.8,0.028,0.093,8.66,6502.16,0.749,-0.17,1000.0,7,0,30,DECLINE,67.3,Tier 3,DECLINE
101833,Ayaz Tyres & Wheels Ltd,Ayaz Tyres & Wheels ltd.json,unlabelled,False,False,False,Other,5000.0,77,90,0.0,0.0,0.0,0.0,False,90159.16,6935.32,80286.24,9872.92,675.0,0.007,0.11,8.06,6175.86,0.186,-0.06,1000.0,0,0,100,APPROVE,80.9,Tier 2,APPROVE
101832,Taste Of Bengal Broadway Ltd,TASTE OF BENGAL BROADWAY LTD.json,unlabelled,False,False,False,Other,10000.0,28,54,2.0,4.0,2.0,2552.0,False,326724.83,25132.68,310859.75,15865.08,38700.0,0.118,0.049,7.91,23912.29,0.329,-0.08,1000.0,3,0,100,APPROVE,67.4,Tier 2,APPROVE
101831,Herne Hill Dry Cleaners Limited,HERNE HILL DRY CLEANERS LIMITED.json,unlabelled,False,False,False,Other,10000.0,88,0,0.0,0.0,0.0,0.0,False,54797.0,4215.15,28764.08,26032.92,0.0,0.0,0.475,2.53,2212.62,0.226,0.09,1001.27,0,0,100,APPROVE,73.7,Tier 2,DECLINE
101830,Peter G Ltd,Peter G ltd.json,unlabelled,False,False,False,Other,10000.0,17,72,3.0,3.0,0.0,0.0,False,230912.47,28864.06,241291.52,-10379.05,31787.01,0.138,-0.045,8.11,30161.44,0.834,0.5,1000.0,8,0,30,DECLINE,63.0,Tier 3,DECLINE
101829,Due Auto Motive Ltd,Due Auto Motive LTD.json,unlabelled,False,False,False,Other,7000.0,104,70,2.0,5.0,1.0,5732.0,False,90235.22,6941.17,95845.01,-5609.79,4447.45,0.049,-0.062,50.0,7372.69,0.472,0.17,1000.0,4,0,60,REFER,75.9,Tier 2,DECLINE
101866,Quantome Commerce,Quantome Commerce.json,unlabelled,False,False,False,Other,8000.0,41,73,0.0,0.0,0.0,0.0,False,136703.64,10515.66,115652.29,21051.35,28013.72,0.205,0.154,2.79,8896.33,1.009,-0.39,1000.0,10,0,30,DECLINE,58.6,Tier 4,DECLINE
101845,Rj Elite Property Management,RJ ELITE PROPERTY MANAGEMENT app 3.json,unlabelled,False,False,False,Other,2000.0,30,84,0.0,7.0,1.0,323.0,False,162640.91,20330.11,147873.13,14767.78,1391.05,0.009,0.091,10.74,18484.14,0.471,0.09,1000.0,4,0,60,REFER,81.9,Tier 2,DECLINE
101856,Rb Market Limited,Rb market limited.json,unlabelled,False,False,False,Other,10000.0,11,68,0.0,0.0,0.0,0.0,False,54256.26,9042.71,54627.38,-371.12,0.0,0.0,-0.007,10.0,9104.56,0.767,0.04,1000.0,7,0,30,DECLINE,60.9,Tier 3,DECLINE
101823,Rlk Technologies Limited,RLK Technologies Limited.json,unlabelled,False,False,False,Other,9000.0,34,71,0.0,2.0,0.0,0.0,False,115204.45,8861.88,220464.56,-105260.11,52600.0,0.457,-0.914,10.08,16958.81,2.0,-0.5,1000.0,10,0,30,DECLINE,37.9,Tier 4,DECLINE
101822,Grazka Limited,GRAZKA LIMITED.json,unlabelled,False,False,False,Other,10000.0,37,68,0.0,0.0,0.0,0.0,False,160106.97,12315.92,189155.54,-29048.57,34590.0,0.216,-0.181,14.59,14550.43,0.431,-0.09,1000.0,4,0,60,REFER,64.2,Tier 2,DECLINE
101821,Blossom Salon Ltd,BLOSSOM SALON LTD.json,unlabelled,False,False,False,Other,10000.0,32,79,0.0,1.0,3.0,1039.0,False,55289.47,4607.46,52172.78,3116.69,40.0,0.001,0.056,50.0,4347.73,1.079,0.11,1000.0,10,0,30,DECLINE,67.6,Tier 4,DECLINE
101819,Gc Couture Ltd,GC COUTURE LTD.json,unlabelled,False,False,False,Other,10000.0,14,88,0.0,0.0,0.0,0.0,False,395536.5,43948.5,334697.57,60838.93,53282.6,0.135,0.154,3.22,37188.62,0.303,-0.0,3379.94,3,0,100,APPROVE,86.4,Tier 2,APPROVE
101818,Rb Allsort Limited,Rb Allsort limited.json,unlabelled,False,False,False,Other,6000.0,175,49,1.0,1.0,0.0,0.0,False,43816.32,3370.49,39496.99,4319.33,0.0,0.0,0.099,10.07,3038.23,0.46,0.07,1000.0,4,0,60,REFER,71.8,Tier 2,DECLINE
101817,The Spirits Corner Hull Ltd,The spirits corner hull Ltd.json,unlabelled,False,False,False,Other,9000.0,17,79,0.0,1.0,0.0,0.0,False,12066.32,6033.16,12002.34,63.98,0.0,0.0,0.005,50.0,6001.17,0.049,-0.07,1000.0,0,0,100,APPROVE,76.1,Tier 2,APPROVE
101816,Trim Fadeys Limited,Trim fadeys limited.json,unlabelled,False,False,False,Other,3000.0,14,77,0.0,0.0,1.0,1197.0,False,36694.57,4077.17,33402.76,3291.81,0.0,0.0,0.09,11.15,3711.42,0.338,-0.04,1000.0,3,0,100,APPROVE,72.9,Tier 2,APPROVE
101813,Party2Perfection Ltd,Party2perfection LTD.json,unlabelled,False,False,False,Other,6000.0,135,68,0.0,1.0,0.0,0.0,False,285154.06,21934.93,273162.13,11991.93,23917.23,0.084,0.042,7.97,21012.47,0.347,-0.0,1000.0,3,0,100,APPROVE,75.2,Tier 2,APPROVE
101814,Noble Parking Ltd,Noble parking ltd.json,unlabelled,False,False,False,Other,10000.0,13,87,0.0,1.0,1.0,289.0,False,55869.06,4297.62,71600.31,-15731.25,6640.0,0.119,-0.282,50.0,5507.72,0.704,0.13,1000.0,7,0,30,DECLINE,65.8,Tier 3,DECLINE
101812,Solical Stadiums Ltd,SOLICAL STADIUMS LTD.json,unlabelled,False,False,False,Other,4000.0,34,85,1.0,1.0,0.0,0.0,False,19835.85,1525.83,20740.29,-904.44,1060.0,0.053,-0.046,50.0,1595.41,0.682,0.32,1000.0,6,0,60,REFER,72.2,Tier 2,DECLINE
101811,Rowley Dunleavy Services Limited,rowley dunleavy services limited.json,unlabelled,False,False,False,Other,10000.0,31,62,0.0,12.0,0.0,0.0,False,694432.94,53417.92,350610.02,343822.92,54403.5,0.078,0.495,1.65,26970.0,0.402,0.19,13223.96,4,0,60,REFER,89.4,Tier 2,SENIOR_REVIEW
101810,Four Paws Walking And Training Ltd,Four Paws Walking And Training Ltd app 4.json,unlabelled,False,False,False,Other,6000.0,39,77,0.0,1.0,0.0,0.0,False,454931.24,50547.92,469665.6,-14734.36,64000.0,0.141,-0.032,9.58,52185.07,0.365,0.0,1000.0,3,0,60,REFER,70.5,Tier 2,DECLINE
101854,Ings Pet Store & Grooming Ltd,INGS PET STORE & GROOMING LTD.json,unlabelled,False,False,False,Other,6000.0,14,80,0.0,0.0,0.0,0.0,False,90668.84,10074.32,87303.53,3365.31,6305.0,0.07,0.037,5.77,9700.39,0.544,-0.1,1000.0,5,0,60,REFER,67.4,Tier 2,DECLINE
101808,Haus Of Sass Limited By Stephanie Limited,Haus of sass limited by Stephanie limited.json,unlabelled,False,False,False,Other,10000.0,28,78,0.0,0.0,0.0,0.0,False,268796.75,20676.67,288009.95,-19213.2,24964.77,0.093,-0.071,49.72,22154.61,0.342,0.12,1000.0,3,0,100,APPROVE,82.4,Tier 1,APPROVE
101807,D&C Couriers Ltd,D&C Couriers Ltd app 3.json,unlabelled,False,False,False,Other,2000.0,68,0,0.0,0.0,0.0,0.0,False,80599.08,6199.93,45209.74,35389.34,1000.0,0.012,0.439,5.14,3477.67,0.336,0.04,1361.13,3,0,100,APPROVE,66.4,Tier 2,DECLINE
101845,Rj Elite Property Management,RJ ELITE PROPERTY MANAGEMENT app 2.json,unlabelled,False,False,False,Other,2000.0,30,84,0.0,7.0,1.0,323.0,False,154621.32,22088.76,164708.11,-10086.79,28649.77,0.185,-0.065,9.23,23529.73,0.48,0.28,1000.0,4,0,60,REFER,79.0,Tier 2,SENIOR_REVIEW
101805,Sf Elections Hub Limited,SF elections Hub limited.json,unlabelled,False,False,False,Other,10000.0,22,63,1.0,7.0,2.0,6508.0,False,119507.41,9192.88,134452.9,-14945.49,21402.0,0.179,-0.125,17.22,10342.53,0.237,-0.06,1000.0,3,0,100,APPROVE,70.1,Tier 2,APPROVE
100029,White Rock Trading Limited,WHITE ROCK TRADING LIMITED.json,unlabelled,False,False,False,Other,10000.0,110,84,0.0,0.0,0.0,0.0,False,119982.4,9229.42,142983.42,-23001.02,20300.0,0.169,-0.192,50.0,10998.72,1.218,-0.15,1000.0,10,0,30,DECLINE,51.0,Tier 4,DECLINE
101802,The Ceo Lounge Ltd,The CEO Lounge Ltd.json,unlabelled,False,False,False,Other,7000.0,20,64,2.0,2.0,1.0,871.0,False,476351.34,36642.41,602637.27,-126285.93,91730.0,0.193,-0.265,18.81,46356.71,0.54,-0.01,1000.0,5,0,60,REFER,59.7,Tier 2,DECLINE
101801,Joao Motorcycles Ltd,Joao motorcycles Ltd app 2.json,unlabelled,False,False,False,Other,10000.0,18,64,0.0,0.0,0.0,0.0,False,412825.98,68804.33,408870.57,3955.41,25924.2,0.063,0.01,39.89,68145.09,0.694,0.25,1000.0,6,0,60,REFER,71.1,Tier 2,DECLINE
101800,Gem Drycleaning & Tailoring Services Ltd,Gem drycleaning & tailoring services ltd.json,unlabelled,False,False,False,Other,10000.0,33,48,1.0,5.0,0.0,0.0,False,45786.28,3522.02,56337.38,-10551.1,9725.54,0.212,-0.23,50.0,4333.64,0.41,0.11,1000.0,4,0,60,REFER,66.5,Tier 2,DECLINE
101799,Stormhold Hospitality Ltd,Stormhold hospitality Ltd app 2.json,unlabelled,False,False,False,Other,9000.0,15,67,0.0,0.0,1.0,323.0,False,526107.66,75158.24,541685.31,-15577.65,24250.0,0.046,-0.03,50.0,77383.62,0.625,0.23,1000.0,6,0,60,REFER,69.1,Tier 2,DECLINE
101799,Stormhold Hospitality Ltd,Stormhold hospitality Ltd.json,unlabelled,False,False,False,Other,9000.0,15,67,0.0,0.0,1.0,323.0,False,526107.66,75158.24,541685.31,-15577.65,24250.0,0.046,-0.03,50.0,77383.62,0.625,0.23,1000.0,6,0,60,REFER,69.1,Tier 2,DECLINE
101797,Pamzo Mart Limited,Pamzo Mart Limited.json,unlabelled,False,False,False,Other,10000.0,21,79,0.0,0.0,0.0,0.0,False,209114.67,16085.74,203638.86,5475.81,7740.0,0.037,0.026,10.73,15664.53,0.756,0.17,1000.0,7,0,30,DECLINE,73.0,Tier 3,DECLINE
101796,Baby Ultrasound Clinic Limited,Baby ultrasound clinic limited.json,unlabelled,False,False,False,Other,10000.0,126,87,0.0,0.0,0.0,0.0,False,615695.39,47361.18,492173.26,123522.13,25000.0,0.041,0.201,4.14,37859.48,0.399,0.01,4750.85,3,0,60,REFER,89.8,Tier 2,SENIOR_REVIEW
101795,Farm To Fridge Ltd,Farm to Fridge Ltd.json,unlabelled,False,False,False,Other,10000.0,19,88,1.0,4.0,2.0,668.0,False,81300.37,6253.87,77431.24,3869.13,113.25,0.001,0.048,21.29,5956.25,0.832,0.5,1000.0,8,0,30,DECLINE,71.7,Tier 3,DECLINE
101794,Creative Plus Media Ltd,Creative Plus Media Ltd.json,unlabelled,False,False,False,Other,10000.0,31,83,0.0,1.0,0.0,0.0,False,78455.57,9806.95,74383.85,4071.72,2100.0,0.027,0.052,21.04,9297.98,0.47,-0.06,1000.0,4,0,60,REFER,72.5,Tier 2,DECLINE
101793,Champagne One Ltd,champagne one ltd.json,unlabelled,False,False,False,Other,10000.0,124,72,0.0,0.0,0.0,0.0,False,247354.15,19027.24,559298.93,-311944.78,21924.64,0.089,-1.0,3.73,43022.99,0.731,-0.21,1000.0,7,0,30,DECLINE,43.4,Tier 3,DECLINE
101791,Cellor Shades,Cellor Shades.json,unlabelled,False,False,False,Other,2000.0,37,68,0.0,0.0,0.0,0.0,False,88971.77,6843.98,95635.7,-6663.93,9550.2,0.107,-0.075,39.94,7356.59,1.052,0.2,1000.0,10,0,30,DECLINE,62.0,Tier 4,DECLINE
101789,Pak Euro Cash And Carry,PAK euro cash and carry.json,unlabelled,False,False,False,Other,10000.0,159,84,0.0,0.0,0.0,0.0,False,53005.9,26502.95,51026.41,1979.49,0.0,0.0,0.037,50.0,25513.2,0.368,0.5,1000.0,3,0,60,REFER,85.9,Tier 1,SENIOR_REVIEW
100337,Evopure Ltd,Evopure Ltd.json,unlabelled,False,False,False,Other,5000.0,36,0,0.0,0.0,0.0,0.0,False,185441.48,14264.73,138605.08,46836.4,14076.0,0.076,0.253,2.34,10661.93,0.345,-0.02,1801.4,3,0,100,APPROVE,67.3,Tier 2,DECLINE
101787,Rizpicks Travels Ltd,rizpicks travels ltd.json,unlabelled,False,False,False,Other,9000.0,22,69,0.0,1.0,0.0,0.0,False,114668.81,8820.68,114386.87,281.94,2123.0,0.019,0.002,50.0,8798.99,0.556,0.3,1000.0,5,0,60,REFER,74.4,Tier 2,DECLINE
